,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
113,Classic Royal Crispy Chicken-Sandwich,600,280,31.0,5.0,0.0,80,1330,54.0,9.0,9.0,31.0,Chicken & More,19,1.0
114,Spicy Royal Crispy Chicken-Sandwich,760,420,47.0,8.0,0.0,80,1580,58.0,9.0,11.0,31.0,Chicken & More,19,1.0
115,Bacon & Swiss Royal Crispy Chicken Sandwich,740,390,43.0,11.0,0.0,110,1920,56.0,9.0,10.0,39.0,Chicken & More,19,1.0
116,Original Chicken-Sandwich,680,350,39.0,7.0,0.0,65,1380,63.0,3.0,7.0,23.0,Chicken & More,23,4.0
117,Chicken Jr.,440,240,27.0,5.0,0.0,40,700,39.0,2.0,5.0,13.0,Chicken & More,18,5.0
118,Spicy Chicken Jr.,380,170,19.0,3.5,0.0,30,680,42.0,2.0,6.0,12.0,Chicken & More,18,5.0
119,Chicken Nuggets- 4pc,190,110,12.0,2.5,0.0,30,490,12.0,0.5,0.0,9.0,Chicken & More,22,0.0
120,Chicken Nuggets- 6pc,290,170,19.0,3.5,0.0,40,730,18.0,1.0,0.0,13.0,Chicken & More,22,0.0
121,Chicken Nuggets- 10pc,480,280,31.0,6.0,0.0,70,1220,30.0,2.0,0.0,22.0,Chicken & More,21,3.0
122,Chicken Nuggets- 20pc,970,560,62.0,12.0,0.0,140,2440,60.0,5.0,0.0,45.0,Chicken & More,20,2.0
123,Chicken Fries- 9 pc.,260,120,13.0,3.0,0.0,35,780,20.0,1.0,0.0,15.0,Chicken & More,22,0.0
124,Spicy Chicken Nuggets- 4pc,210,130,15.0,3.0,0.0,20,570,11.0,2.0,0.0,8.0,Chicken & More,22,0.0
125,Spicy Chicken Nuggets- 6pc,320,200,22.0,4.5,0.0,35,850,17.0,3.0,0.0,12.0,Chicken & More,22,0.0
126,Spicy Chicken Nuggets- 10 pc,530,330,37.0,7.0,0.0,55,1420,28.0,4.0,1.0,20.0,Chicken & More,21,3.0
127,Spicy Chicken Nuggets- 20 pc,1050,670,74.0,15.0,0.0,110,2840,56.0,9.0,1.0,40.0,Chicken & More,20,2.0
128,Crispy Taco,170,80,9.0,3.0,0.0,10,410,19.0,2.0,1.0,5.0,Chicken & More,22,0.0
129,BIG FISH Sandwich,570,270,30.0,5.0,0.0,50,1270,58.0,3.0,8.0,19.0,Chicken & More,23,4.0
